Value,Type,Reference,Bedrooms,Bathrooms,Furnishing,Size,Amenities,Agency,Location
"6,500 QAR Monthly",Apartment,bhomesqa-1947942,1,2,Partly furnished,"                                        1,281 sqft                          /              119 sqm                      ",Built in Wardrobes - Central A/C - Kitchen Appliances - Security - Shared Gym - Shared Pool - Walk-in Closet,Better Homes Qatar, Tower 20 - Viva Bahriyah - The Pearl - Doha
"9,500 QAR Monthly",Apartment,AP5733,1,2,Furnished,"                                        1,076 sqft                          /              100 sqm                      ",,MD Properties, Porto Arabia Townhouses - Porto Arabia - The Pearl - Doha
"7,000 QAR Monthly",Apartment,nelsonpark-1947025,1,2,Furnished,"                                        1,076 sqft                          /              100 sqm                      ",Central A/C - Covered Parking - Shared Gym,NelsonPark Property , Al Sadd Road - Al Sadd - Doha
"8,500 QAR Monthly",Apartment,loftbureau-1950104,1,2,Partly furnished,"                                        1,399 sqft                          /              130 sqm                      ",Balcony - Built in Wardrobes - Concierge - Kitchen Appliances - Pets Allowed - Security - Shared Gym - Shared Pool,The Loft Bureau Real Estate, East Porto Drive - Porto Arabia - The Pearl - Doha
"8,000 QAR Monthly",Apartment,mtcqatar-1952553,1,2,Partly furnished,"                                        1,518 sqft                          /              141 sqm                      ",Balcony - Central A/C - Kitchen Appliances - Security - Shared Gym - Shared Pool - Walk-in Closet,MTC Qatar , Tower 21 - Porto Arabia - The Pearl - Doha
"8,000 QAR Monthly",Townhouse,nelsonpark-1946854,1,2,Partly furnished,"                                        1,163 sqft                          /              108 sqm                      ",Balcony - Built in Wardrobes - Central A/C - Concierge - Covered Parking - Kitchen Appliances - View of Landmark - View of Water,NelsonPark Property , Porto Arabia Townhouses - Porto Arabia - The Pearl - Doha
"8,500 QAR Monthly",Apartment,nelsonpark-1947150,1,2,Partly furnished,"                                        1,679 sqft                          /              156 sqm                      ",Balcony - Built in Wardrobes - Central A/C - Kitchen Appliances - Security - Shared Pool - View of Landmark - View of Water,NelsonPark Property , West Porto Drive - Porto Arabia - The Pearl - Doha
"9,500 QAR Monthly",Apartment,HDR-20485,1,2,Partly furnished,"                                        1,507 sqft                          /              140 sqm                      ",Balcony - Built in Wardrobes - Central A/C - Concierge - Kitchen Appliances - Security - Shared Gym - Shared Pool,Home Dealers Real Estate, West Porto Drive - Porto Arabia - The Pearl - Doha
"13,000 QAR Monthly",Townhouse,bhomesqa-1940768,1,2,Partly furnished,"                                        1,787 sqft                          /              166 sqm                      ",Balcony - Built in Wardrobes - Central A/C - Concierge - Covered Parking - Kitchen Appliances - Security - Shared Gym - Shared Pool - View of Water,Better Homes Qatar, Porto Arabia Townhouses - Porto Arabia - The Pearl - Doha
"5,000 QAR Monthly",Compound,CAP85MDr - 001 -01.,1,2,Furnished,                                        646 sqft                          /              60 sqm                      ,Built in Wardrobes - Kitchen Appliances - Security - Shared Gym - Shared Pool,Capital One Trading, Muaither North - Muaither North - Muaither Area - Doha
"10,800 QAR Monthly",Apartment,AP2378B,1,2,Furnished,"                                        1,249 sqft                          /              116 sqm                      ",Balcony - Built in Wardrobes - Central A/C - Concierge - Covered Parking - Kitchen Appliances - Security - Shared Gym - Shared Pool - Study - View of Water, Capstone Property, Imperial Amber - Viva Bahriyah - The Pearl - Doha
"8,500 QAR Monthly",Apartment,HDR-19309,1,2,Furnished,"                                        1,485 sqft                          /              138 sqm                      ",Balcony - Built in Wardrobes - Central A/C - Covered Parking - Kitchen Appliances - Shared Gym - Shared Pool - View of Water,Home Dealers Real Estate, West Porto Drive - Porto Arabia - The Pearl - Doha
"8,500 QAR Monthly",Apartment,nelsonpark-1941368,1,2,Furnished,"                                        1,399 sqft                          /              130 sqm                      ",Balcony - Built in Wardrobes - Central A/C - Covered Parking - Security - Shared Gym - Shared Pool - View of Water,NelsonPark Property , West Porto Drive - Porto Arabia - The Pearl - Doha
"7,500 QAR Monthly",Apartment,Wcp_c241008,1,2,Furnished,"                                        1,453 sqft                          /              135 sqm                      ",Balcony - Central A/C - Concierge - Covered Parking - Kitchen Appliances - Security - Shared Gym - Shared Pool - View of Landmark - View of Water,World Class Properties, West Porto Drive - Porto Arabia - The Pearl - Doha
"10,700 QAR Monthly",Apartment,bhomesqa-1941594,1,2,Furnished,"                                        1,389 sqft                          /              129 sqm                      ",Balcony - Built in Wardrobes - Central A/C - Concierge - Covered Parking - Kitchen Appliances - Security - Shared Gym - Shared Pool - View of Water,Better Homes Qatar, Viva Central - Viva Bahriyah - The Pearl - Doha
"8,500 QAR Monthly",Apartment,mtcqatar-1943824,1,2,Partly furnished,"                                        1,475 sqft                          /              137 sqm                      ",Balcony - Built in Wardrobes - Central A/C - Shared Gym - Shared Pool - View of Water - Walk-in Closet,MTC Qatar , Tower 28 - Porto Arabia - The Pearl - Doha
"9,500 QAR Monthly",Apartment,TPG-R-1320,1,2,Partly furnished,"                                        1,399 sqft                          /              130 sqm                      ",Built in Wardrobes - Central A/C - Concierge - Covered Parking - Kitchen Appliances - Security - Shared Gym - Shared Pool - View of Water,The Pearl Gates, West Porto Drive - Porto Arabia - The Pearl - Doha
"10,700 QAR Monthly",Apartment,bhomesqa-1941609,1,2,Furnished,"                                        1,389 sqft                          /              129 sqm                      ",Balcony - Built in Wardrobes - Central A/C - Concierge - Covered Parking - Kitchen Appliances - Security - Shared Gym - Shared Pool,Better Homes Qatar, Viva Central - Viva Bahriyah - The Pearl - Doha
"12,400 QAR Monthly",Apartment,AP2382.,1,2,Furnished,"                                        1,399 sqft                          /              130 sqm                      ",Balcony - Central A/C - Concierge - Covered Parking - Kitchen Appliances - Shared Gym - Shared Pool, Capstone Property, Viva Central - Viva Bahriyah - The Pearl - Doha
"4,750 QAR Monthly",Apartment,AP2503,1,1,Furnished,                                        700 sqft                          /              65 sqm                      ,Security,Mirage International Property Consultants, Umm Al Shebram Street - Fereej Abdul Aziz - Doha
"6,500 QAR Monthly",Apartment,bhomesqa-1946617,1,2,Furnished,                                        700 sqft                          /              65 sqm                      ,Balcony - Central A/C - Kitchen Appliances - Security - Shared Gym - Shared Pool,Better Homes Qatar, Al Nasr Street - Al Nasr - Doha
"7,500 QAR Monthly",Apartment,nelsonpark-1946380,1,1,Partly furnished,                                        969 sqft                          /              90 sqm                      ,Balcony - Built in Wardrobes - Central A/C - Concierge - Covered Parking - Kitchen Appliances - Security - Shared Gym - Shared Pool - View of Water,NelsonPark Property , East Porto Drive - Porto Arabia - The Pearl - Doha
"4,250 QAR Monthly",Apartment,citadel-1939736,1,2,Unfurnished,                                        646 sqft                          /              60 sqm                      ,Balcony - Central A/C - Covered Parking - Security - Shared Gym - Shared Pool - Shared Spa,Citadel Real Estate, Al Themar Street - Umm Ghuwailina - Doha
"8,500 QAR Monthly",Apartment,HDR-21980,1,2,Partly furnished,"                                        1,453 sqft                          /              135 sqm                      ",Balcony - Central A/C - Security - Shared Gym - Shared Pool - View of Water,Home Dealers Real Estate, West Porto Drive - Porto Arabia - The Pearl - Doha
"4,200 QAR Monthly",Apartment,albaraka-1342707,1,1,Furnished,                                        915 sqft                          /              85 sqm                      ,Kitchen Appliances,Al Baraka International Group Investment & Real Estates Developments, Umm Ghuwailina 4 - Umm Ghuwailina - Doha
"9,250 QAR Monthly",Apartment,bhomesqa-1943513,1,2,Furnished,"                                        1,012 sqft                          /              94 sqm                      ",Balcony - Built in Wardrobes - Central A/C - Concierge - Kitchen Appliances - Security - Shared Gym - Shared Pool - View of Water - Walk-in Closet,Better Homes Qatar, Viva East - Viva Bahriyah - The Pearl - Doha
"4,750 QAR Monthly",Apartment,BB-PRO-091,1,2,Furnished,                                        753 sqft                          /              70 sqm                      ,Balcony - Built in Wardrobes - Central A/C - Concierge - Covered Parking - Kitchen Appliances - Pets Allowed - Security - Shared Gym - Shared Pool - View of Landmark,Blue Black Properties, Umm Ghuwailina 4 - Umm Ghuwailina - Doha
"7,000 QAR Monthly",Apartment,nelsonpark-1943746,1,1,Furnished,"                                        1,076 sqft                          /              100 sqm                      ",Kitchen Appliances,NelsonPark Property , Al Sadd Road - Al Sadd - Doha
"7,500 QAR Monthly",Apartment,HDR-19871,1,2,Partly furnished,                                        969 sqft                          /              90 sqm                      ,Balcony - Central A/C - Security - Shared Gym - Shared Pool - View of Water,Home Dealers Real Estate, West Porto Drive - Porto Arabia - The Pearl - Doha
"9,000 QAR Monthly",Apartment,TPPAFV1BF,1,2,Furnished,"                                        1,292 sqft                          /              120 sqm                      ",Balcony - Kitchen Appliances - Security - Shared Gym - Shared Pool,MS Properties, Marina Gate - Porto Arabia - The Pearl - Doha
